File name prefix       : /home/pi/ad2_daq/data/20200705/sub0000
Sampling Frequency (Hz): 1e+07
Trigger Level (V)      : -1
Trigger Type           : Falling Negative
Trigger Position (s)   : 0.0003
Number of Events       : 10000
Rate(Hz) 5510 1593955395 inf
Rate(Hz) 5520 1593955395 inf
Rate(Hz) 5530 1593955395 inf
Rate(Hz) 5540 1593955395 inf
Rate(Hz) 5550 1593955396 10
Rate(Hz) 5560 1593955396 inf
Rate(Hz) 5570 1593955396 inf
Rate(Hz) 5580 1593955396 inf
Rate(Hz) 5590 1593955396 inf
Rate(Hz) 5600 1593955396 inf
Rate(Hz) 5610 1593955396 inf
Rate(Hz) 5620 1593955396 inf
Rate(Hz) 5630 1593955396 inf
Rate(Hz) 5640 1593955396 inf
Rate(Hz) 5650 1593955396 inf
Rate(Hz) 5660 1593955398 5
Rate(Hz) 5670 1593955399 10
Rate(Hz) 5680 1593955399 inf
Rate(Hz) 5690 1593955399 inf
Rate(Hz) 5700 1593955399 inf
Rate(Hz) 5710 1593955399 inf
Rate(Hz) 5720 1593955399 inf
Rate(Hz) 5730 1593955399 inf
Rate(Hz) 5740 1593955399 inf
Rate(Hz) 5750 1593955399 inf
Rate(Hz) 5760 1593955399 inf
Rate(Hz) 5770 1593955399 inf
Rate(Hz) 5780 1593955399 inf
Rate(Hz) 5790 1593955399 inf
Rate(Hz) 5800 1593955399 inf
Rate(Hz) 5810 1593955399 inf
Rate(Hz) 5820 1593955400 10
Rate(Hz) 5830 1593955400 inf
Rate(Hz) 5840 1593955400 inf
Rate(Hz) 5850 1593955400 inf
Rate(Hz) 5860 1593955400 inf
Rate(Hz) 5870 1593955400 inf
Rate(Hz) 5880 1593955400 inf
Rate(Hz) 5890 1593955400 inf
Rate(Hz) 5900 1593955400 inf
Rate(Hz) 5910 1593955400 inf
Rate(Hz) 5920 1593955400 inf
Rate(Hz) 5930 1593955400 inf
Rate(Hz) 5940 1593955400 inf
Rate(Hz) 5950 1593955400 inf
Rate(Hz) 5960 1593955400 inf
Rate(Hz) 5970 1593955401 10
Rate(Hz) 5980 1593955401 inf
Rate(Hz) 5990 1593955401 inf
Rate(Hz) 6000 1593955401 inf
Rate(Hz) 6010 1593955401 inf
Rate(Hz) 6020 1593955401 inf
Rate(Hz) 6030 1593955401 inf
Rate(Hz) 6040 1593955401 inf
Rate(Hz) 6050 1593955401 inf
Rate(Hz) 6060 1593955401 inf
Rate(Hz) 6070 1593955401 inf
Rate(Hz) 6080 1593955401 inf
Rate(Hz) 6090 1593955401 inf
Rate(Hz) 6100 1593955401 inf
Rate(Hz) 6110 1593955401 inf
Rate(Hz) 6120 1593955402 10
Rate(Hz) 6130 1593955402 inf
Rate(Hz) 6140 1593955402 inf
Rate(Hz) 6150 1593955402 inf
Rate(Hz) 6160 1593955402 inf
Rate(Hz) 6170 1593955402 inf
Rate(Hz) 6180 1593955402 inf
Rate(Hz) 6190 1593955402 inf
Rate(Hz) 6200 1593955402 inf
Rate(Hz) 6210 1593955402 inf
Rate(Hz) 6220 1593955402 inf
Rate(Hz) 6230 1593955402 inf
Rate(Hz) 6240 1593955402 inf
Rate(Hz) 6250 1593955402 inf
Rate(Hz) 6260 1593955402 inf
Rate(Hz) 6270 1593955403 10
Rate(Hz) 6280 1593955403 inf
Rate(Hz) 6290 1593955403 inf
Rate(Hz) 6300 1593955403 inf
Rate(Hz) 6310 1593955403 inf
Rate(Hz) 6320 1593955403 inf
Rate(Hz) 6330 1593955403 inf
Rate(Hz) 6340 1593955403 inf
Rate(Hz) 6350 1593955403 inf
Rate(Hz) 6360 1593955403 inf
Rate(Hz) 6370 1593955403 inf
Rate(Hz) 6380 1593955403 inf
Rate(Hz) 6390 1593955403 inf
Rate(Hz) 6400 1593955403 inf
Rate(Hz) 6410 1593955403 inf
Rate(Hz) 6420 1593955404 10
Rate(Hz) 6430 1593955404 inf
Rate(Hz) 6440 1593955404 inf
Rate(Hz) 6450 1593955404 inf
Rate(Hz) 6460 1593955404 inf
Rate(Hz) 6470 1593955404 inf
Rate(Hz) 6480 1593955404 inf
Rate(Hz) 6490 1593955404 inf
Rate(Hz) 6500 1593955404 inf
Rate(Hz) 6510 1593955404 inf
Rate(Hz) 6520 1593955404 inf
Rate(Hz) 6530 1593955404 inf
Rate(Hz) 6540 1593955404 inf
Rate(Hz) 6550 1593955404 inf
Rate(Hz) 6560 1593955404 inf
Rate(Hz) 6570 1593955405 10
Rate(Hz) 6580 1593955405 inf
Rate(Hz) 6590 1593955405 inf
Rate(Hz) 6600 1593955405 inf
Rate(Hz) 6610 1593955405 inf
Rate(Hz) 6620 1593955405 inf
Rate(Hz) 6630 1593955405 inf
Rate(Hz) 6640 1593955405 inf
Rate(Hz) 6650 1593955405 inf
Rate(Hz) 6660 1593955405 inf
Rate(Hz) 6670 1593955405 inf
Rate(Hz) 6680 1593955405 inf
Rate(Hz) 6690 1593955405 inf
Rate(Hz) 6700 1593955405 inf
